"No. Urut","Kode Cabang","Nama Cabang","ALAMAT","KOTA / KABUPATEN","KODE POS","PROPINSI","Region"
"53","14307","KC Banyuwangi","Jl. Dr. Wahidin Sudiro Husodo No. 2","Kab. Banyuwangi","68411","JAWA TIMUR","JAWA 3"
"54","14401","KCP Malang Merdeka","Jl. Merdeka Barat No. 1","Kota Malang","65119","JAWA TIMUR","JAWA 3"
"55","14404","KCP Pasuruan","Jl. Panglima Sudirman No. 11","Kota Pasuruan","67115","JAWA TIMUR","JAWA 3"
"56","17100","KC Kediri","Jl. Brigjen Katamso No. 67, Desa Kampung Dalem, Kec. Kota Kediri","Kota Kediri","64126","JAWA TIMUR","JAWA 3"
"57","17110","KC Tulungagung","Jl. Sudirman No. 55","Kab. Tulungagung","66219","JAWA TIMUR","JAWA 3"
"58","17104","KC Madiun Pahlawan","Jl. Pahlawan No. 29","Kota Madiun","63116","JAWA TIMUR","JAWA 3"
"59","17800","KC Gresik","Jl. R.A. Kartini No. 210, Kel. Sidomoro, Kec. Kebomas","Kab. Gresik","61122","JAWA TIMUR","JAWA 3"
"60","14601","KCP Pontianak Ngurah Rai","Jl. I Gusti Ngurah Rai No. 2 , Humaera B","Kota Pontianak","78117","KALIMANTAN BARAT","KALIMANTAN"
"61","14800","KC Samarinda Mulawarman","Jl. Mulawarman No. 23","Kota Samarinda","75112","KALIMANTAN TIMUR","KALIMANTAN"
"62","14902","KCP Balikpapan Ahmad Yani","Jl. Jend. Ahmad Yani No. 15, Kel. Klandasan Ilir, Kec. Balikpapan Kota","Kota Balikpapan","76113","KALIMANTAN TIMUR","KALIMANTAN"
"63","14926","KC Tarakan Yos Sudarso","Jl. Yos Sudarso No. 10","Kota Tarakan","77113","KALIMANTAN UTARA","KALIMANTAN"
"64","03101","KCP Banjarmasin Pangeran Samudera","Jl. Lambung Mangkurat No. 4","Kota Banjarmasin","70111","KALIMANTAN SELATAN","KALIMANTAN"
"65","15000","KC Manado Dotulolong Lasut","Jl. Dotulolong Lasut No. 15","Kota Manado","95122","SULAWESI UTARA","SULAWESI"
"66","15005","KC Tahuna","Jl. Dr. Sutomo No. 1","Kab. Kepulauan Sangihe","95813","SULAWESI UTARA","SULAWESI"
"67","15100","KC Palu Imam Bonjol","Jl. Dr. Sam Ratulangi No. 60, Kel. Besusu Barat, Kec. Palu Timur","Kota Palu","94111","SULAWESI TENGAH","SULAWESI"
"68","15213","KCP Makassar Slamet Riyadi","Jl. Brigjend. Slamet Riyadi No. 8","Kota Makassar","90111","SULAWESI SELATAN","SULAWESI"
"69","16200","KC Kendari Masjid Agung","Jl. H. Abdullah Silondae 45, Mondonga","Kota Kendari","93111","SULAWESI TENGGARA","SULAWESI"
"70","16202","KCP Bau Bau","Jl. Batara Guru No. 17 E, Kelurahan Wajo, Kecamatan Murhum","Kota Bau Bau","93127","SULAWESI TENGGARA","SULAWESI"
"71","16204","KCP Kolaka","Jl. Chairil Anwar No. 34 BC","Kab. Kolaka","93514","SULAWESI TENGGARA","SULAWESI"
"72","17005","KC Watampone","Jl. M.H. Thamrin No. 10","Kab. Bone","92713","SULAWESI SELATAN","SULAWESI"
"73","17401","KCP Makassar Panakkukang","Panakkukang Mas, Jl. Bolevar No. F 89","Kota Makassar","90231","SULAWESI SELATAN","SULAWESI"
"74","18600","KC Ambon Pantai Mardika","Jl. Pantai Mardika","Kota Ambon","97123","MALUKU","MALUKU"
"75","18602","KC Ternate","Jl. Nukila No. 51","Kota Ternate","97721","MALUKU UTARA","MALUKU"
"76","14500","KC Denpasar Veteran","Jl. Veteran No. 1, Desa Dauh Puri Kaja, Kec. Denpasar Barat","Kota Denpasar","80111","BALI","BALI"
"77","14511","KCP Singaraja","Jl. Jend. Ahmad Yani No. 60, Singaraja","Kab. Buleleng","81116","BALI","BALI"
"78","17503","KCP Dalung","Jl. Gatot Subroto Barat No. 1","Kab. Badung","80361","BALI","BALI"
"79","16100","KC Mataram AA Gde Ngurah","Jl. AA Gde Ngurah No. 48 A-B, kel. Cakranegara Selatan, Kec. Cakranegara","Kota Mataram","83231","NUSA TENGGARA BARAT","NUSA TENGGARA BARAT"
"80","15400","KC Jayapura Ahmad Yani","Jl. Jend. Ahmad Yani No. 35","Kota Jayapura","99111","PAPUA","PAPUA"
"81","15404","KC Merauke","Jl. Raya Mandala No. 1","Kab. Merauke","99613","PAPUA","PAPUA"
"82","15405","KC Nabire","Jl. Pepera No. 19","Kab. Nabire","98801","PAPUA","PAPUA"
"83","15408","KC Biak","Jl. Jend. Ahmad Yani No. 2","Kab. Biak Numfor","98112","PAPUA","PAPUA"
"84","15413","KC Timika","Jl. Belibis","Kab. Mimika","99910","PAPUA","PAPUA"
"85","16000","KC Sorong Basuki Rahmat","Jl. Basuki Rahmat No. 22","Kota Sorong","98401","PAPUA BARAT","PAPUA"
"86","16002","KC Manokwari","Jl. Yos Sudarso No. 61","Kab. Manokwari","98311","PAPUA BARAT","PAPUA"
