No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
223,Palembang,129,KC Lubuk Linggau,KC,"Jl. Yos Sudarso No.92",Sumatera Selatan,Kab. Musi Rawas
224,Palembang,20,KC Jambi,KC,"Jalan Dr. Sutomo No.42, Pasar Jambi, Pasar Jambi",Jambi,Kota Jambi
225,Palembang,128,KC Muara Enim,KC,"Jl. Jend. Sudirman No.88",Sumatera Selatan,Kab. Muara Enim
226,Palembang,131,KC Tanjung Pandan,KC,"Jl. Merdeka No.11",Bangka Belitung,Kab. Belitung
227,Palembang,8,KC Baturaja,KC,"Jl. Akmal No 116 Baturaja",Sumatera Selatan,Kab. Ogan Komering Ulu
228,Palembang,184,KC Prabumulih,KC,"Jl. Jend. Sudirman No. 6",Sumatera Selatan,Kota Prabumulih
229,Palembang,138,KC Pagar Alam,KC,"Jl. Kombes H. Umar No. 126",Sumatera Selatan,Kota Pagar Alam
230,Palembang,342,KC Palembang Sriwijaya,KC,"Jl. Basuki Rahmad Palembang No. 145 RT. 17 RW. 05",Sumatera Selatan,Kota Palembang
231,Palembang,164,KC Sekayu,KC,"Jl. Letnan Munandar No. 397",Sumatera Selatan,Kab. Musi Banyuasin
232,Pekanbaru,170,KC Pekanbaru Sudirman,KC,"Jl. Jend. Sudirman No. 316",Riau,Kota Pekanbaru
233,Pekanbaru,560,KC Duri,KC,"Jl. Jend. Sudirman No. 183 RT.05/RW.17",Riau,Kab. Bengkalis
234,Pekanbaru,696,KC Pekanbaru Tuanku Tambusai,KC,"Jl. Pertokoan Puri Nangka Sari No.4-5-6 Kel. Tangkerang Barat Kec. Bukit Raya",Riau,Kota Pekanbaru
235,Pekanbaru,331,KC Batam Nagoya,KC,"Jl. Imam Bonjol Blk. A No.7-9",Kepulauan Riau,Kota Batam
236,Pekanbaru,621,KC Batam Center,KC,"Jl. Engku Putri No.3 Batam Center",Kepulauan Riau,Kota Batam
237,Pekanbaru,1079,KC Pekanbaru Lancang Kuning,KC,"Menara BRI Lt 1&2 Jl. Jendral Sudirman No. 12",Riau,Kota Pekanbaru
238,Pekanbaru,622,KC Pangkalan Kerinci,KC,"Jl. Maharaja Indra Lintas Timur",Riau,Kab. Pelalawan
239,Pekanbaru,2,KC Bagan Siapi api,KC,"Jl. Merdeka No. 43",Riau,Kab. Rokan Hilir
240,Pekanbaru,159,KC Dumai,KC,"Jl. St. Syarif Kasim No.42",Riau,Kota Dumai
241,Semarang,81,KC Salatiga,KC,"Jl. Diponegoro 09, RT 01 RW 03",Jawa Tengah,Kota Salatiga
242,Semarang,14,KC Brebes,KC,"Jl. Dr. Wachidin No. 1",Jawa Tengah,Kab. Brebes
243,Semarang,435,KC Brigjen Sudiarto,KC,"Jl. Brigjen Sudiarto Km.11",Jawa Tengah,Kota Semarang
244,Semarang,83,KC Semarang Patimura,KC,"Jl . Pattimura No.2-4 RT 1 RW 2, kel. Rejomulyo, kec. Semarang Timur, Kota Semarang",Jawa Tengah,Kota Semarang
245,Semarang,68,KC Pekalongan,KC,"Jl. W.R. Supratman No. 6",Jawa Tengah,Kota Pekalongan
246,Semarang,609,KC Semarang A. Yani,KC,"Jl. A Yani 169",Jawa Tengah,Kota Semarang
247,Semarang,16,KC Demak,KC,"Jl. Sultan Patah 676",Jawa Tengah,Kab. Demak
248,Semarang,325,KC Semarang Pandanaran,KC,"Jl. Pandanaran No. 75",Jawa Tengah,Kota Semarang
249,Semarang,34,KC Kendal,KC,"Jl. Soekarno - Hatta No. 222",Jawa Tengah,Kab. Kendal
250,Semarang,156,KC Batang,KC,"Jl. Diponegoro No 1",Jawa Tengah,Kab. Batang
251,Semarang,327,KC Ungaran,KC,"Jl. Jend. Gatot Subroto No. 75",Jawa Tengah,Kab. Semarang
252,Semarang,22,KC Jepara,KC,"Gd. PKPRI (PKPN) Jl. Pemuda 101",Jawa Tengah,Kab. Jepara
253,Semarang,69,KC Pemalang,KC,"Jl. Jend. Sudirman Timur No. 36",Jawa Tengah,Kab. Pemalang
254,Semarang,66,KC Pati,KC,"Jl. P. Sudirman No. 154",Jawa Tengah,Kab. Pati
255,Surabaya,587,KC Mulyosari,KC,"Komp. Ruko Sutorejo Prima Indah Blok PFF No. 78H",Jawa Timur,Kota Surabaya
256,Surabaya,684,KC Waru,KC,"Komp Pertokoan Gateway Blok B- 07 B-29 B-30 Jl. Raya Waru",Jawa Timur,Kab. Sidoarjo
257,Surabaya,584,KC Surabaya HR Muhammad,KC,"Gd. Halim Sakti Jl. HR Muhamad Kav. 41",Jawa Timur,Kota Surabaya
258,Surabaya,412,KC Surabaya Jemursari,KC,"Jl. Jemur Andayani No. 69 AB",Jawa Timur,Kota Surabaya
259,Surabaya,211,KC Surabaya Pahlawan,KC,"Jl. Pahlawan 39-41",Jawa Timur,Kota Surabaya
260,Surabaya,1156,KC Surabaya Diponegoro,KC,"Jl. Diponegoro No.135-137, Darmo, Kec. Wonokromo, Kota Surabaya, Jawa Timur",Jawa Timur,Kota Surabaya
261,Surabaya,360,KC Surabaya Kusuma bangsa,KC,"Jl. Kusuma Bangsa No. 122",Jawa Timur,Kota Surabaya
262,Surabaya,553,KC Krian,KC,"Jl. Raya Imam Bonjol No 15",Jawa Timur,Kab. Sidoarjo
263,Surabaya,2243,KCP SIDOARJO KOTA,KCP,"Ruko Indograha Business Centre Jl. Pahlawan No.13",Jawa Timur,Kab. Sidoarjo
264,Surabaya,583,KC Manukan,KC,"Jl. Manukan Tama No.208",Jawa Timur,Kota Surabaya
265,Surabaya,172,KC Surabaya Rajawali,KC,"Jl. Rajawali No. 23-27",Jawa Timur,Kota Surabaya
266,Surabaya,394,KC Kapas Krampung,KC,"Jl. Kenjeran No. 228-230",Jawa Timur,Kota Surabaya
267,Surabaya,95,KC Sumenep,KC,"Jl. Trunojoyo No. 135-A",Jawa Timur,Kab. Sumenep
268,Surabaya,96,KC Surabaya Kaliasin,KC,"Gd. BRI Tower Jl. Basuki Rahmat No. 122-138",Jawa Timur,Kota Surabaya
269,Surabaya,411,KC Surabaya Kertajaya,KC,"Gedung The Samator Land No.25-28",Jawa Timur,Kota Surabaya
270,Surabaya,328,KC Surabaya Tanjung Perak,KC,"Jl. Perak barat No. 357-375",Jawa Timur,Kota Surabaya
271,Yogyakarta,1590,KK BRI CAFE JOGJA,KK,"Jl. Sagan Timur No. 123 RT044 RW009 Kel. Terban Kec. Gondokusuman",Yogyakarta,Kota Yogyakarta
272,Yogyakarta,1746,KK BRIWORK UGM,KK,"Jl. Sosio Yusticia No. 01 Karangmalang",Yogyakarta,Kab. Sleman
273,Yogyakarta,1298,KK UNS SURAKARTA,KK,"Jl. Ir. Sutami No. 36 A Kel. Jebres Kec. Jebres",Jawa Tengah,Kota Surakarta
274,Yogyakarta,1063,KC Solo Baru,KC,"Ruko Office Park A1-2 Jl. IR Soekarno",Jawa Tengah,Kab. Sukoharjo
275,Yogyakarta,29,KC Yogyakarta Cik Ditiro,KC,"Jl. Cik Ditiro No.3",Yogyakarta,Kota Yogyakarta
276,Yogyakarta,182,KC Solo Kartasura,KC,"Jl. A. Yani No. 2A Dusun I",Jawa Tengah,Kab. Sukoharjo
277,Yogyakarta,4,KC Banjarnegara,KC,"Jl. Pemuda No 70",Jawa Tengah,Kab. Banjarnegara
278,Yogyakarta,32,KC Kebumen,KC,"Jl. Soekarno Hatta No. 114",Jawa Tengah,Kab. Kebumen
279,Yogyakarta,97,KC Solo - Sudirman,KC,"Jl. Jend. Sudirman No. 1",Jawa Tengah,Kota Surakarta
280,Yogyakarta,334,KC Solo Slamet Riyadi,KC,"Jl. Slamet Riyadi No. 236",Jawa Tengah,Kota Surakarta
281,Yogyakarta,153,KC Wonosari,KC,"Jl. Kol. Sugiyono No. 14",Yogyakarta,Kab. Gunung Kidul
282,Yogyakarta,74,KC Purbalingga,KC,"Jl. Jend. Sudirman No. 214 A",Jawa Tengah,Kab. Purbalingga
283,Yogyakarta,149,KC Karanganyar,KC,"Jl. Lawu Barat No. 391",Jawa Tengah,Kab. Karanganyar
284,Yogyakarta,106,KC Cilacap,KC,"Jl. A. Yani No. 29 Rt 02 Rw 02",Jawa Tengah,Kab. Cilacap
285,Yogyakarta,151,KC Ajibarang,KC,"Jl. Ajibarang Wetan No.1, Ajibarang",Jawa Tengah,Kab. Banyumas
286,Yogyakarta,78,KC Purworejo,KC,"Jl. Jend. A. Yani No. 1",Jawa Tengah,Kab. Purworejo
287,Yogyakarta,102,KC Temanggung,KC,"Jl. Jend. Sudirman No. 17",Jawa Tengah,Kab. Temanggung
