No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
76,Jakarta 1,122,KC Jakarta Jatinegara,KC,"Jl. Raya Jatinegara Timur IV/ 448",DKI Jakarta,Kota Jakarta Timur
77,Jakarta 1,361,KC Jakarta Segitiga Senen,KC,"Gedung Graha YPPSDP, Jl. Kwitang Raya No.21, Kel. Kwitang, Kec. Senen",DKI Jakarta,Kota Jakarta Pusat
78,Jakarta 1,346,KC Jakarta Mangga Dua,KC,"Gd. Mall Mangga Dua Kav. 23-24 Jl. Arteri Mangga Dua Raya",DKI Jakarta,Kota Jakarta Pusat
79,Jakarta 1,441,KC Jakarta Sunter,KC,"Jl. Danau Sunter Utara Blok C2 No. 3",DKI Jakarta,Kota Jakarta Utara
80,Jakarta 1,329,KC Jakarta Veteran,KC,"Jl. Veteran No. 8",DKI Jakarta,Kota Jakarta Pusat
81,Jakarta 1,320,KC Jakarta Kelapa Gading,KC,"Jl. Boulevard Barat Raya Blok XC No. 2 - B, Kel. Kelapa Gading Barat, Kec. Kelapa Gading",DKI Jakarta,Kota Jakarta Utara
82,Jakarta 1,419,KC Kalimalang,KC,"Jl. Raya Kalimalang Perkav. Agraria Blok Q.3 Kav. No. 16",DKI Jakarta,Kota Jakarta Timur
83,Jakarta 1,378,KC Jakarta Rasuna Said,KC,"Gd. Direktorat Jendral Minyak & Gas Bumi Kem. ESDM Jl. HR Rasuna Said Kav. B-5",DKI Jakarta,Kota Jakarta Selatan
84,Jakarta 1,332,KC Jakarta Hayam Wuruk,KC,"Jl. Hayam Wuruk No. 108",DKI Jakarta,Kota Jakarta Barat
85,Jakarta 1,416,KC Jakarta Artha Gading,KC,"Jl. Rukan Artha Gading Niaga Blok B1",DKI Jakarta,Kota Jakarta Utara
86,Jakarta 1,439,KC Jakarta Gading Boulevard,KC,"Rukan Graha Summarecon Kelapa Gading Blok KGC/A 09 Jl. Boulevard Raya",DKI Jakarta,Kota Jakarta Utara
87,Jakarta 1,18,KC Jakarta Tanah Abang,KC,"Jl. Tanah Abang III/4",DKI Jakarta,Kota Jakarta Pusat
88,Jakarta 1,261,KC Jakarta Krekot,KC,"Jl. Samanhudi No. 44",DKI Jakarta,Kota Jakarta Pusat
89,Jakarta 1,376,KC Jakarta Sudirman 1,KC,"Sona Topas Tower Jl. Jendral Sudirman Kav. 26 RT015/RW010",DKI Jakarta,Kota Jakarta Selatan
90,Jakarta 2,1871,KK BRI SMESCOFFEE,KK,"Jl. Jend. Gatot Subroto Kav 94",DKI Jakarta,Kota Jakarta Selatan
91,Jakarta 2,1731,KK PONDOK INDAH MALL,KK,"Pondok Indah Mall 2 Lt. Dasar No. G33 B Jl. Raya Metro Pondok Indah",DKI Jakarta,Kota Jakarta Selatan
92,Jakarta 2,949,UNIT CIRACAS KRAMAT JATI,UNIT,"Jl. Raya Ciracas No.7",DKI Jakarta,Kota Jakarta Timur
93,Jakarta 2,425,KC Ampera,KC,"Jl. Ampera Raya No. 8",DKI Jakarta,Kota Jakarta Selatan
94,Jakarta 2,385,KC Pondok Gede,KC,"Plaza Pondok Gede Ruko Blok C. No. 23-25 Jl. Raya Pondok Gede",Jawa Barat,Kab. Bekasi
95,Jakarta 2,1428,KK RAGUNAN,KK,"Komplek Pertokoan KSU Sejati Mulia Jl. Ragunan B1",DKI Jakarta,Kota Jakarta Selatan
