Nama Cabang,Kode Cabang,Alamat
KCU Pekalongan,0238,"Jln. Diponegoro 27 Pekalongan 51116 Jawa Tengah, 0285-424783,"
KCU Pekanbaru,0034,"Jln. Jend. Sudirman 448 Pekanbaru 28115 Riau,"
KCP Juanda,0144,"Jln. Ir Juanda 73-75 Pekanbaru 28151 Riau,"
KCU Pematang Siantar,8200,"Jln. Merdeka No. 39 Pematang Siantar 21117 Sumatera Utara,"
KCU Pontianak,0029,"Jln. A. Yani No.6 Pontianak 78122 Kalimantan Barat, 0561-736305"
KCP Rahadi Usman,0171,"Jln. Rahadi Usman No.4 Pontianak 78117 Kalimantan Barat,"
KCU Prabumulih,0300,"Jln. Jend. Sudirman 369-370 Prabumulih 31121 Sumatera Selatan,"
KCU Probolinggo,0039,"Jln. Suroyo 28,Probolinggo 67211 Jawa Timur,"
KCU Purwakarta,0231,"Jln. Jend. Sudirman 85 Purwakarta 41114 Jawa Barat, 0264-201311"
KCU Purwodadi,0081,"Jln. MT Haryono 2 Purwodadi 58111 Jawa Tengah,"
KCU Purwokerto,0046,"Jln. Jend. Sudirman 391 A Purwokerto 53116 Jawa Tengah,"
KCU Salatiga,0013,"Jln. Diponegoro 15 Salatiga 50711 Jawa Tengah,"
KCU Samarinda,0027,"Jln. Jend. Sudirman 30 Samarinda 75111 Kalimantan Timur,"
KCP Abdul Hasan,0254,"Jln. KH. Abdul Hasan 8-9 Samarinda 75111 Kalimantan Timur,"
KCU Gang Tengah,0182,"Jln Gang Tengah 88 Semarang 50137 Jawa Tengah,"
KCU Semarang,0009,"Jln. Pemuda 90-92 Semarang 50133 Jawa Tengah, 024-3510575,"
KCP Grajen,7830,"Jln. MT Haryono 337 Semarang 50136 Jawa Tengah,"
KCP Majapahit,0462,"Jln. Majapahit 112 Semarang 50161 Jawa Tengah,"
KCP Siliwangi,0246,"Jln. Jend. Sudirman 39 Semarang 50141 Jawa Tengah,"
KCP Suari,0409,"Jln. Suari 18 Semarang 50121 Jawa Tengah,"
KCU SERANG,0245,"Jln. Diponegoro No. 14 Serang, Banten"
KCU Sidoarjo,0018,"Jln. Ahmad Yani 39 A Sidoarjo 61212 Jawa Timur, 031-8962611,"
KCP Sepanjang,0271,"Jln. Raya Wonocolo 59, Taman Sepanjang Sidoarjo 61257 Jawa Timur,"
KCU Singaraja,8270,"Jln. Dr. Sutomo 3 Singaraja 81113 Bali,"
KCU Singkawang,8170,"Jln. GM Situt No.12 B Singkawang 79123 Kalimantan Barat,"
KCU Situbondo,0121,"Jln. Diponegoro 68, Situbondo 68311 Jawa Timur, 0338-671155,"
KCU Solo Slamet Riyadi,0015,"Jln. Brigjen Slamet Riyadi 3 Solo 57112 Jawa Tengah, 0271-642225"
KCU Solo Veteran,7850,"Jln. Veteran 307 Solo 57154 Jawa Tengah, 0271-663477"
KCP Pasar Klewer,0078,"Jl. KH. Hasyim Ashari Solo 57115 Jawa Tengah,"
KCU Subang,0055,"Jln. Otto Iskandardinata 37 Subang 41211 Jawa Barat,"
KCU Sukabumi,0038,"Jln A. Yani 31 Sukabumi 43111 Jawa Barat, 0266-224455"
KCU Darmo,0088,"Jln. Raya Darmo 5 Surabaya 60265 Jawa Timur, 031-5671003-08"
KCU Diponegoro,0258,"Jln. Dr Sutomo 118 Surabaya 60241 Jawa Timur, 031-5671243"
KCU Galaxy,7880,"Jln. Kertajaya Indah Timur No. 37-39 Surabaya 60117 Jawa Timur,"
KCU HR Muhamad,8290,"Jln. HR Muhamad 17 Surabaya 60189 Jawa Timur, 031-7346460,"
KCU Indrapura,0468,"Jln. Indrapura 35 Surabaya 60176 Jawa Timur, 031-3572888"
KCU Rungkut,8220,"Jln. Kendangsari Industri 2 Surabaya 60292 Jawa Timur,"
KCU Veteran,0010,"Jln. Veteran 18-24 Surabaya 60175 Jawa Timur, 031-3531136"
KCP Baliwerti,0329,"Jln. Baliwerti 119-121 Kav. 37-38 Surabaya 60174 Jawa Timur,"
KCP Dharma Husada,0388,"Jln. Dharmahusada No. 203 Surabaya 60132 Jawa Timur,"
KCP Kapasan,0213,"Jln. Kapasan 155 Surabaya 60136 Jawa Timur,"
KCP Kapas Krampung,0101,"Jln. Kapas Krampung 126-126A-B Surabaya 60136 Jawa Timur,"
KCP Kedungdoro,0103,"Jln. Kedungdoro 118 Surabaya 60251 Jawa Timur,"
KCP Kertajaya Indah,0464,"Jln. Manyar Kertoardjo 95 Surabaya 60285 Jawa Timur,"
KCP Kusumabangsa,0188,"Jln. Kusumabangsa No. 35 Surabaya 60272 Jawa Timur,"
KCP Mangga Dua Sby,0107,"Jln. Jagir Wonokromo 100, Pertokoan Mangga Dua Blok B-6 No.1 Surabaya"
KCP Manyar,0130,"Pert.Manyar MI.Plz,Blok D14-15,Jl.Ngagel Jaya Selatan Surabaya 60245 Jawa"
KCP Margomulyo,0463,"Jln. Margomulyo No. 9 Blok AA 11-12 Surabaya 60186 Jawa Timur,"
KCP Pasar Atum,0102,"Pasar Atum Mall, Lantai 2 Stand No. BA-1 s/d BA-7, Jln. Stasiun Kota No. 7A"
KCP Pondok Chandra,0216,"Komp. Pertokoan Pondok Chandra, Jln. Palem TC 09 Surabaya 60400 Jawa"
KCP Prapen,5120,"Jln. Raya Prapen 38 Surabaya 60299 Jawa Timur,"
KCP Sungkono,0087,"Komp. Darmo Park I No.4-6, Jln. Mayjen Sungkono Surabaya 60226 Jawa"
KCP Slompretan,0036,"Jln. Slompretan 43 Surabaya 60161 Jawa Timur,"
KCP Tidar,0214,"Jln. Tidar 109 Surabaya 60252 Jawa Timur,"
KCP Tunjungan,0014,"Jln. Tunjungan 51 Atas Surabaya 60725 Jawa Timur,"
KCU Tanjung Pinang,0380,"Jln. Temiang 27-29, (Riau) Tanjung Pinang 29111 Riau, 0771-23571 (h),"
KCU Tarakan,7805,"Jln. Yos Sudarso No. 8, Kel. Karang Rejo Pantai, Kec. Tarakan Barat Tarakan"
KCU Tasikmalaya,0054,"Jln. HZ Mustofa 300 Tasikmalaya 46124 Jawa Barat, 0265-332005"
KCU Tebing Tinggi,0042,"Jln. Jend.Sudirman 225-227-229 Tebing Tinggi 20615 Sumatera Utara,"
KCU Tegal,0047,"Jln. AR. Hakim 2 Tegal 52131 Jawa Tengah, 0283-356889"
KCU Tuban,8240,"Jln. Panglima Sudirman 35 Tuban 62314 Jawa Timur,"
KCU Tulungagung,0048,"Jln. Diponegoro 54, Tulungagung 66217 Jawa Timur,"
KCU Yogyakarta,0037,"Jln. Jend. Sudirman 49-51 Yogyakarta 55223 Jawa Tengah,"
KCP Ahmad Dahlan,0169,"Jln. KH.A.Dahlan No. 27 Yogyakarta 55122 DI Yogyakarta,"
KCP Katamso,0445,"Jln. Brigjen Katamso 141 Yogyakarta 55121 DI Yogyakarta,"
